date,inflow_cms,outflow_cms,rainfall_mm,temperature_c
2020-01-01,1424.18,1295.72,0.39,6.89
2020-01-02,1379.73,1250.32,0.72,9.01
2020-01-03,1182.63,978.36,0.93,7.43
2020-01-04,1068.98,901.88,0.0,8.95
2020-01-05,1046.79,883.31,0.75,7.3
2020-01-06,765.09,671.09,0.0,8.6
2020-01-07,1163.9,1037.19,0.59,7.4
2020-01-08,1536.86,1330.96,0.73,7.36
2020-01-09,1296.63,1043.99,0.0,7.77
2020-01-10,1397.34,1226.88,0.0,9.09
2020-01-11,967.95,915.14,0.66,8.22
2020-01-12,1520.44,1278.24,0.0,6.42
2020-01-13,1184.84,997.8,1.35,6.87
2020-01-14,1333.61,1212.72,0.97,8.89
2020-01-15,1090.2,1013.3,0.25,6.49
2020-01-16,1574.91,1336.75,0.36,7.59
2020-01-17,1503.13,1402.54,1.58,6.96
2020-01-18,1281.05,1132.69,1.28,8.8
2020-01-19,1291.04,1134.07,1.75,7.6
2020-01-20,1284.78,1125.84,0.0,9.04
2020-01-21,1245.08,1072.71,0.79,7.21
2020-01-22,1485.93,1224.68,0.33,7.57
2020-01-23,1528.85,1407.38,0.76,9.37
2020-01-24,1343.89,1097.3,0.25,8.67
2020-01-25,1201.97,1109.06,0.0,5.34
2020-01-26,1386.38,1179.31,0.18,7.71
2020-01-27,1259.68,1105.77,0.82,7.06
2020-01-28,1650.99,1395.3,0.49,6.33
2020-01-29,1315.06,1062.2,2.47,8.48
2020-01-30,1235.24,1078.88,0.04,7.58
2020-01-31,1585.71,1325.09,1.1,7.2
2020-02-01,1646.0,1449.09,1.62,18.39
2020-02-02,1052.37,848.33,0.05,18.71
2020-02-03,1518.4,1266.3,0.51,16.63
2020-02-04,1034.42,934.75,0.88,17.62
2020-02-05,1259.77,1029.26,0.19,16.11
2020-02-06,1503.38,1386.99,0.0,18.36
2020-02-07,1934.79,1808.22,0.24,16.79
2020-02-08,1364.97,1161.39,1.13,18.3
2020-02-09,1083.21,880.24,0.99,18.22
2020-02-10,1373.27,1099.66,0.0,17.17
2020-02-11,995.79,830.13,1.34,18.33
2020-02-12,1056.33,896.62,1.13,17.77
2020-02-13,1617.1,1431.53,0.84,17.94
2020-02-14,1238.65,1040.2,0.0,17.88
2020-02-15,1240.1,1085.58,1.47,17.54
2020-02-16,1233.84,1023.2,2.68,16.04
2020-02-17,1544.3,1276.46,0.53,16.86
2020-02-18,1244.13,998.19,1.07,16.88
2020-02-19,1485.09,1273.85,0.14,17.78
2020-02-20,1188.37,980.91,1.19,17.71
2020-02-21,1323.12,1077.78,1.0,18.76
2020-02-22,1314.55,1224.64,0.0,17.87
2020-02-23,1566.55,1322.23,0.0,18.38
2020-02-24,1428.76,1328.83,0.91,17.02
2020-02-25,1517.98,1362.38,1.65,17.01
2020-02-26,1538.5,1436.19,1.02,15.85
2020-02-27,924.81,744.83,0.63,16.14
2020-02-28,1878.66,1583.68,0.0,16.59
2020-02-29,1320.05,1159.45,0.0,16.67
2020-03-01,2513.88,2245.98,3.36,25.98
2020-03-02,3537.37,3347.68,4.73,24.42
2020-03-03,1989.94,1829.31,2.37,23.14
2020-03-04,2132.35,1761.31,0.46,25.25
2020-03-05,2610.02,2303.04,0.69,24.53
2020-03-06,3306.56,2948.65,2.75,25.24
2020-03-07,2192.25,1870.86,1.03,23.35
2020-03-08,3548.8,3091.08,1.96,22.66
2020-03-09,2698.97,2320.51,0.0,25.13
2020-03-10,3329.31,2976.0,1.74,23.12
2020-03-11,3265.27,2934.83,2.02,23.39
2020-03-12,2824.36,2503.29,3.29,23.71
2020-03-13,3434.41,2983.6,0.0,24.28
2020-03-14,2828.39,2646.81,2.88,23.48
2020-03-15,2912.4,2361.02,0.75,24.47
2020-03-16,2614.19,2364.56,0.76,23.23
2020-03-17,3159.84,2876.28,2.61,22.96
2020-03-18,3150.7,2901.88,3.1,22.88
2020-03-19,2791.64,2389.09,2.23,22.92
2020-03-20,3264.77,2981.33,5.11,23.15
2020-03-21,3322.19,2817.24,2.04,23.35
2020-03-22,3141.59,2960.98,1.46,22.98
2020-03-23,2838.8,2540.09,3.19,21.8
2020-03-24,2621.29,2392.86,4.41,22.39
2020-03-25,3049.65,2481.44,3.26,22.89
2020-03-26,2796.47,2609.54,0.0,25.36
2020-03-27,2469.8,2028.82,1.36,24.2
2020-03-28,3343.15,3086.66,1.13,23.79
2020-03-29,2611.58,2122.5,2.46,24.74
2020-03-30,2609.05,2119.92,0.67,24.95
2020-03-31,2924.36,2525.58,4.95,23.29
2020-04-01,2798.17,2288.41,0.64,25.95
2020-04-02,2929.09,2671.05,0.35,26.49
2020-04-03,2835.55,2637.88,0.0,25.16
